id,ra,dec,survey,rmag,FLIMFLAM_target,FLIMFLAM_observed,sep,z,QOP
196011474,321.598428,-54.615061,wide,19.31055257718325,True,False,1.0222105267751238,,
196012305,321.587008,-54.602081,wide,16.802211914767742,True,True,1.0306726639181276,0.07486,4.0
196017041,321.591784,-54.699903,wide,19.082241297876838,True,True,1.0174640068989127,0.30079,1.0
196018262,321.548779,-54.721261,wide,19.106171305763244,True,False,1.041234715342682,,
196024284,321.603766,-54.817011,wide,18.00532646028137,True,True,1.0103336397371092,0.07632,4.0
196033775,321.583624,-54.968309,wide,18.396492599737645,True,True,1.041282236404383,0.05896,4.0
196033892,321.591036,-54.971243,wide,19.09386600239611,True,False,1.0377051109903872,,
196037141,321.602335,-55.018241,wide,18.94800808051157,True,False,1.0419801583000765,,
196037896,321.597619,-55.031165,wide,18.892739141186716,True,True,1.0478642122112687,0.24293,2.0
198797242,321.981349,-54.073581,wide,18.72500091408992,True,True,1.0442482292949553,0.19988,4.0
198797640,321.969568,-54.078273,wide,19.27947597363043,True,False,1.046449849192092,,
198798823,322.0169,-54.095801,wide,17.514309592496634,True,True,1.0139507518487345,0.09537,4.0
198802850,321.92365,-54.127493,wide,19.20697831910133,True,False,1.0365539830933388,,
198804436,322.023794,-54.139935,wide,19.20773289802122,True,True,0.9826726431138356,0.27984,3.0
198806120,321.890113,-54.157451,wide,19.36289629016471,True,False,1.0346143636448182,,
198808348,321.936741,-54.176632,wide,19.16350653683472,True,True,1.0012524068476334,0.25552,4.0
198808929,321.996486,-54.181763,wide,18.49168727274251,True,True,0.9698911105182902,0.25534,4.0
198817428,321.864965,-54.25713,wide,18.450762841472624,True,True,0.9929394955449728,0.07547,4.0
198820016,321.978051,-54.272695,wide,18.330420845640184,True,True,0.9282269896038657,0.04558,4.0
198822720,321.87549,-54.291691,wide,18.792736572608472,True,True,0.9706071679267623,0.2466,4.0
198824028,321.949041,-54.300355,wide,18.930226050138472,True,True,0.9288624264763108,0.17065,4.0
198824955,321.947967,-54.319058,wide,16.806340563124657,True,True,0.9203868325057415,0.07507,4.0
198827832,321.803291,-54.338998,wide,19.17867534661865,True,False,0.9868093188017496,,
